name,fy,fp,net_income,revenue,revenue_yoy,revenue_qoq,profit_margin
"CBRE GROUP, INC.",2015.0,FY,316538000.0,7184794000.0,,,0.04405665632167046
CBS CORP,2015.0,FY,1879000000.0,14005000000.0,,,0.13416636915387362
CCA INDUSTRIES INC,2015.0,FY,-6193248.0,28827163.0,,,-0.21484070423440557
"CD INTERNATIONAL ENTERPRISES, INC.",2015.0,FY,13764189.0,1714538.0,,,8.027928806477313
"CD INTERNATIONAL ENTERPRISES, INC.",2016.0,Q1,-464824.0,114941.0,,-0.9329609492469692,-4.044022585500387
CDI CORP,2015.0,FY,2037000.0,276272000.0,,,0.007373168471651126
"CDK GLOBAL, INC.",2016.0,Q2,42400000.0,,,,
CDW CORP,2015.0,FY,132800000.0,,,,
CEB INC.,2015.0,FY,31971000.0,,,,
CEC ENTERTAINMENT INC,2015.0,FY,-12510000.0,,,,
CECO ENVIRONMENTAL CORP,2015.0,FY,6557000.0,,,,
"CEDAR REALTY TRUST, INC.",2015.0,FY,14448000.0,139598000.0,,,0.10349718477342082
"CEFC GLOBAL STRATEGIC HOLDINGS, INC.",2015.0,Q3,-11025.0,,,,
CELADON GROUP INC,2016.0,Q2,8543000.0,222371000.0,,,0.038417779296760816
CELANESE CORP,2015.0,FY,1101000000.0,,,,
CELATOR PHARMACEUTICALS INC,2015.0,FY,-16902883.0,,,,
CELGENE CORP /DE/,2015.0,FY,1449900000.0,6493900000.0,,,0.22327106977317174
CELL MEDX CORP.,2016.0,Q2,-272665.0,,,,
CELLCEUTIX CORP,2016.0,Q2,-2754000.0,,,,
"CELLDEX THERAPEUTICS, INC.",2015.0,FY,,4111000.0,,,
"CELLECTAR BIOSCIENCES, INC.",2015.0,FY,-8052102.0,,,,
"CELLULAR BIOMEDICINE GROUP, INC.",2015.0,FY,-13797033.0,,,,
CELSION CORP,2015.0,FY,-8251358.0,,,,
"CEMPRA, INC.",2015.0,FY,-45034706.0,7812966.0,,,-5.764098551049627
CEMTREX INC,2016.0,Q1,396872.0,13842789.0,,,0.028669945052257895
CENTENE CORP,2015.0,FY,165000000.0,10863000000.0,,,0.015189174261253798
CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,2015.0,FY,269000000.0,2577000000.0,,,0.1043849437330229
CENTERPOINT ENERGY INC,2015.0,FY,311000000.0,8106000000.0,,,0.038366641993585
CENTERPOINT ENERGY RESOURCES CORP,2015.0,FY,64000000.0,5522000000.0,,,0.011590003621876132
"CENTERSTATE BANKS, INC.",2015.0,FY,12243000.0,,,,
CENTRAL EUROPEAN MEDIA ENTERPRISES LTD,2015.0,FY,-277651000.0,,,,
"CENTRAL FEDERAL BANCSHARES, INC",2015.0,FY,119000.0,,,,
CENTRAL FEDERAL CORP,2015.0,FY,479000.0,,,,
CENTRAL GARDEN & PET CO,2016.0,Q1,-5697000.0,,,,
CENTRAL PACIFIC FINANCIAL CORP,2015.0,FY,172075000.0,,,,
CENTRAL VALLEY COMMUNITY BANCORP,2015.0,FY,8250000.0,,,,
CENTRUE FINANCIAL CORP,2015.0,FY,558000.0,,,,
CENTRUS ENERGY CORP,2015.0,FY,,390500000.0,,,
CENTURY ALUMINUM CO,2015.0,FY,-40313000.0,,,,
CENTURY BANCORP INC,2015.0,FY,20046000.0,,,,
CENTURY CASINOS INC /CO/,2015.0,FY,6181000.0,112228000.0,,,0.055075382257547136
"CENTURY COMMUNITIES, INC.",2015.0,FY,12379000.0,171133000.0,,,0.07233555188070097
"CENTURYLINK, INC",2015.0,FY,-239000000.0,18095000000.0,,,-0.013208068527217464
"CENVEO, INC",2015.0,FY,-68786000.0,,,,
CEPHEID,2015.0,FY,-17965000.0,401292000.0,,,-0.04476789968402061
CERAGON NETWORKS LTD,2015.0,FY,-47478000.0,361772000.0,,,-0.1312373539135146
CEREBAIN BIOTECH CORP.,2015.0,FY,-3368699.0,,,,
CEREBAIN BIOTECH CORP.,2016.0,Q2,-676521.0,,,,
CERECOR INC.,2015.0,FY,-13045008.0,,,,
"CERES, INC.",2016.0,Q1,-5973000.0,400000.0,,,-14.9325
CERNER CORP /MO/,2015.0,FY,398354000.0,,,,
CERULEAN PHARMA INC.,2015.0,FY,-17143000.0,6000.0,,,-2857.1666666666665
CERUS CORP,2015.0,FY,-43337000.0,,,,
"CES SYNERGIES, INC.",2015.0,FY,389083.0,20846119.0,,,0.018664529354360877
CESCA THERAPEUTICS INC.,2016.0,Q2,-4371000.0,,,,
CEVA INC,2015.0,FY,6685000.0,48900000.0,,,0.1367075664621677
"CH REAL ESTATE II, INC",2014.0,FY,4781.0,18035.0,,,0.2650956473523704
"CH REAL ESTATE II, INC",2015.0,FY,-22372.0,618853.0,,33.3140005544774,-0.036150749854973636
"CH REAL ESTATE II, INC",2015.0,Q1,5472.0,233314.0,,-0.6229896275852262,0.023453371850810496
"CH REAL ESTATE II, INC",2015.0,Q2,-23587.0,5075.0,,-0.9782481977078101,-4.647684729064039
"CH REAL ESTATE II, INC",2015.0,Q3,-7566.0,238389.0,12.218131411144995,45.97320197044335,-0.03173804160426865
CH2M HILL COMPANIES LTD,2015.0,FY,118334000.0,5877819000.0,,,0.020132297370844526
CHAMPION INDUSTRIES INC,2015.0,FY,5714394.0,,,,
CHAMPION INDUSTRIES INC,2016.0,Q1,-467818.0,,,,
"CHAMPIONS ONCOLOGY, INC.",2016.0,Q3,-2816000.0,,,,
"CHANGE HEALTHCARE HOLDINGS, INC.",2015.0,FY,-74458000.0,1242567000.0,,,-0.0599227244889008
"CHANGING TECHNOLOGIES, INC.",2016.0,Q2,-135855.0,,,,
CHANGYOU.COM LTD,2015.0,FY,,737875000.0,,,
CHANNELADVISOR CORP,2015.0,FY,-20628000.0,68004000.0,,,-0.3033350979354156
"CHANTICLEER HOLDINGS, INC.",2015.0,FY,-6403371.0,29843434.0,,,-0.21456548867667172
"CHAPARRAL ENERGY, INC.",2015.0,FY,55687000.0,628808000.0,,,0.08855962392335975
CHARLES & COLVARD LTD,2015.0,FY,-13097023.0,,,,
CHARLES RIVER LABORATORIES INTERNATIONAL INC,2015.0,FY,,1165528000.0,,,
CHART INDUSTRIES INC,2015.0,FY,83176000.0,,,,
"CHARTER COMMUNICATIONS, INC. /MO/",2015.0,FY,,8155000000.0,,,
CHARTER FINANCIAL CORP,2016.0,Q1,1673503.0,,,,
CHASE CORP,2016.0,Q1,6905000.0,55933000.0,,,0.1234512720576404
CHASE GENERAL CORP,2016.0,Q2,142539.0,,,,
CHASE PACKAGING CORP,2015.0,FY,-182030.0,,,,
"CHATAND, INC.",2015.0,FY,-1256441.0,,,,
CHATHAM LODGING TRUST,2015.0,FY,2982000.0,,,,
CHC GROUP LTD.,2016.0,Q3,,415066000.0,,,
CHECKPOINT SYSTEMS INC,2015.0,FY,-18928000.0,,,,
"CHEETAH ENTERPRISES, INC.",2015.0,FY,-4572.0,28384.0,,,-0.16107666290868095
"CHEFS' WAREHOUSE, INC.",2015.0,FY,16990000.0,673545000.0,,,0.02522474370680504
"CHEGG, INC",2015.0,FY,-55850000.0,,,,
"CHEMBIO DIAGNOSTICS, INC.",2015.0,FY,-1137203.0,,,,
CHEMED CORP,2015.0,FY,77227000.0,,,,
CHEMICAL FINANCIAL CORP,2015.0,FY,56808000.0,,,,
"CHEMOCENTRYX, INC.",2015.0,FY,-38673000.0,,,,
CHEMOURS CO,2015.0,FY,423000000.0,,,,
CHEMUNG FINANCIAL CORP,2015.0,FY,8731000.0,,,,
CHENIERE ENERGY INC,2015.0,FY,-507922000.0,267213000.0,,,-1.900813208938188
"CHENIERE ENERGY PARTNERS LP HOLDINGS, LLC",2015.0,FY,-54000.0,,,,
"CHENIERE ENERGY PARTNERS, L.P.",2015.0,FY,-258117000.0,268191000.0,,,-0.9624372182511718
CHERRY HILL MORTGAGE INVESTMENT CORP,2015.0,FY,21095000.0,,,,
"CHERUBIM INTERESTS, INC.",2015.0,FY,-1738535.0,0.0,,,-inf
"CHERUBIM INTERESTS, INC.",2016.0,Q1,-239259.0,0.0,,,-inf
CHESAPEAKE ENERGY CORP,2015.0,FY,724000000.0,19080000000.0,,,0.037945492662473795
CHESAPEAKE UTILITIES CORP,2015.0,FY,32787000.0,444306000.0,,,0.07379373674899731
CHESS SUPERSITE CORP,2015.0,FY,-358340.0,,,,
CHEVIOT FINANCIAL CORP.,2015.0,FY,1432000.0,,,,
CHEVRON CORP,2015.0,FY,21423000000.0,228848000000.0,,,0.09361235405159757
"CHIASMA, INC",2015.0,FY,36181000.0,,,,
CHICAGO BRIDGE & IRON CO N V,2015.0,FY,454120000.0,11094527000.0,,,0.04093189371660459
CHICAGO RIVET & MACHINE CO,2015.0,FY,1951889.0,,,,
"CHICOPEE BANCORP, INC.",2015.0,FY,2553000.0,,,,
CHICOS FAS INC,2015.0,FY,65883000.0,,,,
CHIMERA INVESTMENT CORP,2015.0,FY,362686000.0,,,,
CHIMERIX INC,2015.0,FY,-70553000.0,4370000.0,,,-16.144851258581237
"CHINA ADVANCED CONSTRUCTION MATERIALS GROUP, INC",2016.0,Q2,-2902651.0,17638995.0,,,-0.16455875178829632
CHINA AUTOMOTIVE SYSTEMS INC,2015.0,FY,33542000.0,,,,
CHINA BAK BATTERY INC,2015.0,FY,37775916.0,,,,
CHINA BAK BATTERY INC,2016.0,Q1,17388593.0,,,,
"CHINA BIOLOGIC PRODUCTS, INC.",2015.0,FY,54601551.0,203356856.0,,,0.26850115641048267
CHINA DISTANCE EDUCATION HOLDINGS LTD,2015.0,FY,13564000.0,71360000.0,,,0.19007847533632288
"CHINA ELITE INFORMATION CO., LTD.",2015.0,FY,-37769.0,,,,
"CHINA GEWANG BIOTECHNOLOGY, INC.",2015.0,FY,,2368016.0,,,
CHINA GINSENG HOLDINGS INC,2016.0,Q2,-746354.0,,,,
"CHINA GREEN AGRICULTURE, INC.",2016.0,Q2,5215437.0,,,,
"CHINA HEALTH INDUSTRIES HOLDINGS, INC.",2016.0,Q2,106811.0,,,,
CHINA HERB GROUP HOLDINGS CORP,2015.0,FY,-108364.0,,,,
CHINA HGS REAL ESTATE INC.,2016.0,Q1,1625990.0,,,,
"CHINA JO-JO DRUGSTORES, INC.",2015.0,Q3,126538.0,,,,
CHINA MEDIA GROUP CORP,2014.0,FY,-1144507.0,,,,
CHINA MEDIA GROUP CORP,2014.0,Q2,72094.0,,,,
CHINA MEDIA GROUP CORP,2015.0,Q1,458105.0,,,,
CHINA MEDIA GROUP CORP,2015.0,Q2,-506039.0,,,,
CHINA MEDIA INC.,2016.0,Q2,-58795.0,,,,
"CHINA MODERN AGRICULTURAL INFORMATION, INC.",2016.0,Q1,7907929.0,,,,
"CHINA MODERN AGRICULTURAL INFORMATION, INC.",2016.0,Q2,7562570.0,,,,
"CHINA NETWORK MEDIA, INC.",2015.0,FY,40855.0,1284095.0,,,0.03181618182455348
"CHINA PHARMA HOLDINGS, INC.",2015.0,FY,-39550760.0,22133866.0,,,-1.7868889239683658
CHINA RECYCLING ENERGY CORP,2015.0,FY,19811922.0,19659069.0,,,1.0077751901679577
CHINA SENIOR LIVING INDUSTRY INTERNATIONAL HOLDING CORP,2015.0,FY,-8728.0,512964.0,,,-0.017014839247978416
"CHINA SOAR INFORMATION TECHNOLOGY, INC.",2016.0,Q2,-2368.0,,,,
"CHINA UNITED INSURANCE SERVICE, INC.",2015.0,FY,7217468.0,,,,
CHINA XD PLASTICS CO LTD,2015.0,FY,133838845.0,,,,
CHINA XUEFENG ENVIRONMENTAL ENGINEERING INC.,2016.0,Q2,523183.0,879120.0,,,0.5951212576212577
"CHINA YCT INTERNATIONAL GROUP, INC.",2015.0,Q3,1666297.0,9511534.0,,,0.17518698876542943
CHINAMERICA ANDY MOVIE ENTERTAINMENT MEDIA CO.,2015.0,FY,294367.0,,,,
"CHINESEINVESTORS.COM, INC.",2015.0,FY,1149590.0,3902403.0,,,0.29458515688922954
"CHINESEINVESTORS.COM, INC.",2016.0,Q1,-115009.0,644787.0,,-0.834771805987234,-0.17836742986443585
"CHINESEINVESTORS.COM, INC.",2016.0,Q2,-78763.0,519406.0,,-0.19445336211803277,-0.15164052783371776
CHIPOTLE MEXICAN GRILL INC,2015.0,FY,327438000.0,,,,
CHOICE HOTELS INTERNATIONAL INC /DE,2015.0,FY,113709000.0,724650000.0,,,0.15691575243220865
CHOICEONE FINANCIAL SERVICES INC,2015.0,FY,5094000.0,,,,
CHRISTOPHER & BANKS CORP,2015.0,FY,8690000.0,,,,
CHROMADEX CORP.,2015.0,FY,-1424072.0,,,,
CHS INC,2016.0,Q1,378703000.0,9499468000.0,,,0.0398657061637557
CHUBB LTD,2015.0,FY,734000000.0,4419000000.0,,,0.16610092781172212
CHUGACH ELECTRIC ASSOCIATION INC,2015.0,FY,10544043.0,,,,
CHURCHILL DOWNS INC,2015.0,FY,54900000.0,,,,
"CHUY'S HOLDINGS, INC.",2015.0,FY,11069000.0,,,,
CIBER INC,2015.0,FY,-14520000.0,877293000.0,,,-0.016550912864915144
CICERO INC,2015.0,FY,-3927000.0,1903000.0,,,-2.0635838150289016
"CIDARA THERAPEUTICS, INC.",2015.0,FY,-1344000.0,,,,
CIENA CORP,2016.0,Q1,-18779000.0,,,,
CIGNA CORP,2015.0,FY,,32380000000.0,,,
CIM COMMERCIAL TRUST CORP,2015.0,FY,14466000.0,235813000.0,,,0.061345218456997704
CIMAREX ENERGY CO,2015.0,FY,564689000.0,1998051000.0,,,0.28261991310532114
CIMPRESS N.V.,2016.0,Q2,63609000.0,,,,
CINCINNATI BANCORP,2015.0,FY,-339202.0,,,,
CINCINNATI BELL INC,2015.0,FY,-54700000.0,,,,
CINCINNATI FINANCIAL CORP,2015.0,FY,517000000.0,4531000000.0,,,0.11410284705363055
CINEDIGM CORP.,2015.0,Q3,-2275000.0,31276000.0,,,-0.07273948075201432
"CINEMARK HOLDINGS, INC.",2015.0,FY,148470000.0,,,,
CINEMARK USA INC /TX,2015.0,FY,149843000.0,,,,
CINTAS CORP,2016.0,Q2,120412000.0,1123379000.0,,,0.10718733392737446
CIPHERLOC CORP,2015.0,FY,-2838461.0,,,,
CIPHERLOC CORP,2015.0,Q2,-1089260.0,105118.0,,,-10.362259555927624
CIPHERLOC CORP,2015.0,Q3,-1145768.0,1725.0,,-0.9835898704313248,-664.2133333333334
CIPHERLOC CORP,2016.0,Q1,-263133.0,433594.0,,250.35884057971015,-0.6068649473931835
CIRCOR INTERNATIONAL INC,2015.0,FY,47121000.0,,,,
"CIRQUE ENERGY, INC.",2015.0,Q3,-608166.0,,,,
CIRRUS LOGIC INC,2015.0,Q3,22729000.0,,,,
"CISCO SYSTEMS, INC.",2016.0,Q2,2397000000.0,,,,
CIT GROUP INC,2015.0,FY,675700000.0,,,,
CITIGROUP INC,2015.0,FY,13659000000.0,76724000000.0,,,0.17802773578019915
"CITIUS PHARMACEUTICALS, INC.",2015.0,FY,-1288003.0,,,,
"CITIUS PHARMACEUTICALS, INC.",2016.0,Q1,-823708.0,,,,
CITIZENS & NORTHERN CORP,2015.0,FY,18594000.0,,,,
CITIZENS BANCSHARES CORP /GA/,2015.0,FY,1348773.0,,,,
CITIZENS COMMUNITY BANCORP INC.,2016.0,Q1,715000.0,,,,
CITIZENS FINANCIAL GROUP INC/RI,2015.0,FY,-3426000000.0,,,,
CITIZENS FINANCIAL SERVICES INC,2015.0,FY,13375000.0,,,,
CITIZENS FIRST CORP,2015.0,FY,3241000.0,,,,
CITIZENS HOLDING CO /MS/,2015.0,FY,7149860.0,,,,
CITIZENS INC,2015.0,FY,4793000.0,213636000.0,,,0.022435357336778445
"CITIZENS INDEPENDENT BANCORP, INC.",2015.0,FY,6078000.0,,,,
CITRIX SYSTEMS INC,2015.0,FY,339523000.0,,,,
CITY HOLDING CO,2015.0,FY,48215000.0,,,,
"CITY OFFICE REIT, INC.",2015.0,FY,-6591000.0,7976000.0,,,-0.8263540621865597
CIVEO CORP,2015.0,FY,181876000.0,,,,
"CIVISTA BANCSHARES, INC.",2015.0,FY,6179000.0,,,,
"CIVITAS SOLUTIONS, INC.",2016.0,Q1,-3440000.0,,,,
"CKX LANDS, INC.",2015.0,FY,1284874.0,2618741.0,,,0.4906456957751836
CLARCOR INC.,2015.0,FY,118076000.0,,,,
CLARCOR INC.,2016.0,Q1,26709000.0,,,,
CLAYTON WILLIAMS ENERGY INC /DE,2015.0,FY,,429215000.0,,,
CLEAN COAL TECHNOLOGIES INC.,2015.0,Q1,-1591801.0,,,,
CLEAN COAL TECHNOLOGIES INC.,2015.0,Q2,-2196886.0,,,,
CLEAN COAL TECHNOLOGIES INC.,2015.0,Q3,-1011605.0,,,,
CLEAN DIESEL TECHNOLOGIES INC,2015.0,FY,-9336000.0,,,,
CLEAN ENERGY FUELS CORP.,2015.0,FY,,352475000.0,,,
CLEAN HARBORS INC,2015.0,FY,,3509656000.0,,,
"CLEANTECH BIOFUELS, INC.",2015.0,FY,656684.0,,,,
"CLEANTECH SOLUTIONS INTERNATIONAL, INC.,",2015.0,FY,4266417.0,75958676.0,,,0.05616760618629003
"CLEAR CHANNEL OUTDOOR HOLDINGS, INC.",2015.0,FY,-48460000.0,2946190000.0,,,-0.016448362121926963
"CLEARFIELD, INC.",2016.0,Q1,1069373.0,,,,
CLEARONE INC,2014.0,FY,5179000.0,,,,
CLEARONE INC,2015.0,FY,5596000.0,,,,
CLEARONE INC,2015.0,Q1,485000.0,,,,
CLEARONE INC,2015.0,Q2,882000.0,,,,
CLEARONE INC,2015.0,Q3,1594000.0,,,,
CLEARSIGN COMBUSTION CORP,2015.0,FY,-1646000.0,0.0,,,-inf
"CLEARTRONIC, INC.",2015.0,FY,-299899.0,207424.0,,,-1.4458259410675718
"CLEARTRONIC, INC.",2016.0,Q1,-75689.0,72076.0,,-0.65251851280469,-1.050127643043454
CLEARWATER PAPER CORP,2015.0,FY,106955000.0,,,,
CLICKSTREAM CORP,2016.0,Q1,-77235.0,0.0,,,-inf
CLIFFS NATURAL RESOURCES INC.,2015.0,FY,413500000.0,3890800000.0,,,0.10627634419656626
CLIFTON BANCORP INC.,2015.0,Q3,1940000.0,,,,
CLOROX CO /DE/,2016.0,Q2,125000000.0,,,,
CLOUD PEAK ENERGY INC.,2015.0,FY,51971000.0,1396097000.0,,,0.037225923413631
CLOUD SECURITY CORP.,2015.0,Q3,-58303.0,0.0,,,-inf
"CLOUDCOMMERCE, INC.",2016.0,Q2,-180624.0,126203.0,,,-1.43121795836866
"CLOVIS ONCOLOGY, INC.",2015.0,FY,-84532000.0,,,,
"CLS HOLDINGS USA, INC.",2016.0,Q2,-198733.0,0.0,,,-inf
CME GROUP INC.,2015.0,FY,976800000.0,2936300000.0,,,0.33266355617614
CMS ENERGY CORP,2015.0,FY,452000000.0,6566000000.0,,,0.06883947608894304
CN RESOURCES INC.,2016.0,Q2,-10631.0,,,,
CNA FINANCIAL CORP,2015.0,FY,937000000.0,9932000000.0,,,0.09434152235199356
CNB FINANCIAL CORP/PA,2015.0,FY,16679000.0,,,,
CNH INDUSTRIAL CAPITAL LLC,2015.0,FY,,858121000.0,,,
CNH INDUSTRIAL N.V.,2015.0,FY,677000000.0,33836000000.0,,,0.02000827520983568
"CNL GROWTH PROPERTIES, INC.",2015.0,FY,-3282219.0,3542226.0,,,-0.9265978511817146
"CNL HEALTHCARE PROPERTIES, INC.",2015.0,FY,-18100000.0,52605000.0,,,-0.34407375724740996
CNL LIFESTYLE PROPERTIES INC,2015.0,FY,-252539000.0,362490000.0,,,-0.6966785290628708
"CNO FINANCIAL GROUP, INC.",2015.0,FY,478000000.0,4476100000.0,,,0.10678939255155158
CNX COAL RESOURCES LP,2015.0,FY,,276235000.0,,,
COACH INC,2016.0,Q2,183500000.0,,,,
"COASTWAY BANCORP, INC.",2015.0,FY,-965000.0,,,,
COBIZ FINANCIAL INC,2015.0,FY,27611000.0,,,,
COCA COLA BOTTLING CO CONSOLIDATED /DE/,2015.0,FY,27675000.0,,,,
COCA COLA CO,2015.0,FY,8584000000.0,,,,
"COCA-COLA ENTERPRISES, INC.",2015.0,FY,667000000.0,,,,
"COCRYSTAL PHARMA, INC.",2015.0,FY,-99000.0,,,,
CODEXIS INC,2015.0,FY,-41303000.0,31922000.0,,,-1.2938725643756657
CODORUS VALLEY BANCORP INC,2015.0,FY,10566000.0,,,,
"COEUR MINING, INC.",2015.0,FY,-650563000.0,,,,
COFFEE HOLDING CO INC,2015.0,FY,4967535.0,,,,
COFFEE HOLDING CO INC,2016.0,Q1,71801.0,,,,
COGENTIX MEDICAL INC /DE/,2015.0,FY,-5353090.0,,,,
COGNEX CORP,2015.0,FY,73573000.0,,,,
COGNIZANT TECHNOLOGY SOLUTIONS CORP,2015.0,FY,1228600000.0,,,,
"COHBAR, INC.",2015.0,FY,-1819684.0,,,,
COHEN & STEERS INC,2015.0,FY,68119000.0,297713000.0,,,0.2288076100136709
COHERENT INC,2016.0,Q1,17430000.0,,,,
"COHERUS BIOSCIENCES, INC.",2015.0,FY,-53635000.0,,,,
COHU INC,2015.0,FY,-33418000.0,,,,
"COLE CREDIT PROPERTY TRUST IV, INC.",2015.0,FY,-32880000.0,102557000.0,,,-0.3206022017024679
"COLE CREDIT PROPERTY TRUST V, INC.",2015.0,FY,0.0,6000.0,,,0.0
"COLE OFFICE & INDUSTRIAL REIT (CCIT II), INC.",2015.0,FY,-100000.0,0.0,,,-inf
"COLE REAL ESTATE INCOME STRATEGY (DAILY NAV), INC.",2015.0,FY,-534000.0,5089000.0,,,-0.10493220672037729
COLFAX CORP,2015.0,FY,178628000.0,,,,
COLGATE PALMOLIVE CO,2015.0,FY,2241000000.0,,,,
COLLECTORS UNIVERSE INC,2016.0,Q2,1655000.0,,,,
"COLLEGIUM PHARMACEUTICAL, INC",2015.0,FY,-16197000.0,,,,
"COLLEGIUM PHARMACEUTICAL, INC",2015.0,Q3,-16197000.0,,,,
COLLIERS INTERNATIONAL GROUP INC.,2015.0,FY,-18039000.0,1306538000.0,,,-0.013806716681795707
COLONY BANKCORP INC,2015.0,FY,4629045.0,,,,
"COLONY CAPITAL, INC.",2015.0,FY,101765000.0,183799000.0,,,0.553675482456379
COLONY STARWOOD HOMES,2015.0,FY,-23424000.0,30867000.0,,,-0.7588686947225192
"COLUCID PHARMACEUTICALS, INC.",2015.0,FY,-2953308.0,,,,
COLUMBIA BANKING SYSTEM INC,2015.0,FY,60016000.0,,,,
"COLUMBIA PIPELINE GROUP, INC.",2015.0,FY,92800000.0,1348000000.0,,,0.06884272997032641
COLUMBIA PIPELINE PARTNERS LP,2015.0,FY,,1331800000.0,,,
"COLUMBIA PROPERTY TRUST, INC.",2015.0,FY,15720000.0,526578000.0,,,0.029853127172042887
COLUMBIA SPORTSWEAR CO,2015.0,FY,94341000.0,,,,
COMBIMATRIX CORP,2015.0,FY,-8707000.0,8042000.0,,,-1.0826908729171847
COMCAST CORP,2015.0,FY,6816000000.0,64657000000.0,,,0.10541782018961597
COMFORT SYSTEMS USA INC,2015.0,FY,27269000.0,,,,
"COMMAND CENTER, INC.",2015.0,FY,9125754.0,,,,
COMMAND SECURITY CORP,2015.0,Q3,208060.0,34516424.0,,,0.006027855029246367
COMMERCE BANCSHARES INC /MO/,2015.0,FY,260961000.0,,,,
"COMMERCE UNION BANCSHARES, INC.",2015.0,FY,1074000.0,,,,
COMMERCIAL BANCSHARES INC OH,2015.0,FY,3055000.0,,,,
COMMERCIAL METALS CO,2016.0,Q1,32184000.0,,,,
COMMERCIAL METALS CO,2016.0,Q2,6197000.0,,,,
"COMMERCIAL VEHICLE GROUP, INC.",2015.0,FY,-12445000.0,747718000.0,,,-0.016643975402491313
COMMODITY ADVISORS FUND L.P.,2015.0,FY,-966521.0,,,,
COMMONWEALTH INCOME & GROWTH FUND IV,2015.0,FY,,384736.0,,,
COMMONWEALTH INCOME & GROWTH FUND V,2015.0,FY,-31201.0,1172918.0,,,-0.026601177575926022
COMMONWEALTH INCOME & GROWTH FUND VI,2015.0,FY,68431.0,3211202.0,,,0.021310088870148933
"COMMONWEALTH INCOME & GROWTH FUND VII, LP",2015.0,FY,,6874024.0,,,
"COMMSCOPE HOLDING COMPANY, INC.",2015.0,FY,19396000.0,,,,
"COMMUNICATIONS SALES & LEASING, INC.",2015.0,FY,8301000.0,128748000.0,,,0.06447478795787119
COMMUNICATIONS SYSTEMS INC,2015.0,FY,-957888.0,,,,
COMMUNITY BANCORP /VT,2015.0,FY,1071565.0,,,,
"COMMUNITY BANK SYSTEM, INC.",2015.0,FY,78829000.0,,,,
COMMUNITY BANKERS TRUST CORP,2015.0,FY,5906000.0,,,,
COMMUNITY CHOICE FINANCIAL INC.,2015.0,FY,8177000.0,425271000.0,,,0.019227739488467354
COMMUNITY FINANCIAL CORP /MD/,2015.0,FY,6651000.0,,,,
COMMUNITY FIRST INC,2015.0,FY,1728000.0,,,,
COMMUNITY HEALTH SYSTEMS INC,2015.0,FY,141000000.0,,,,
COMMUNITY TRUST BANCORP INC /KY/,2015.0,FY,45172000.0,,,,
COMMUNITY WEST BANCSHARES /,2015.0,FY,8986000.0,,,,
COMMUNITYONE BANCORP,2015.0,FY,-1483000.0,,,,
COMMVAULT SYSTEMS INC,2015.0,Q3,3073000.0,153021000.0,,,0.020082210938367935
COMPASS DIVERSIFIED HOLDINGS,2015.0,FY,68064000.0,,,,
COMPASS MINERALS INTERNATIONAL INC,2015.0,FY,130800000.0,,,,
COMPETITIVE COMPANIES INC,2015.0,FY,-4771365.0,405878.0,,,-11.755663031748457
COMPUGEN LTD,2015.0,FY,-14083000.0,3549000.0,,,-3.968160045083122
COMPUTER PROGRAMS & SYSTEMS INC,2015.0,FY,32743238.0,,,,
COMPUTER SCIENCES CORP,2015.0,Q3,-314000000.0,1949000000.0,,,-0.16110826064648537
COMPUTER TASK GROUP INC,2015.0,FY,15679000.0,,,,
"COMPUTRON, INC.",2015.0,FY,-10455.0,,,,
COMPX INTERNATIONAL INC,2015.0,FY,6015000.0,,,,
COMSTOCK MINING INC.,2015.0,FY,-21347020.0,24826587.0,,,-0.8598451329616914
COMSTOCK RESOURCES INC,2015.0,FY,41029000.0,,,,
COMTECH TELECOMMUNICATIONS CORP /DE/,2016.0,Q2,7585000.0,,,,
CONAGRA FOODS INC /DE/,2016.0,Q2,10000000.0,,,,
CONATUS PHARMACEUTICALS INC.,2015.0,FY,-15616492.0,,,,
CONCEPT HOLDING CORP.,2015.0,Q3,-6155.0,0.0,,,-inf
"CONCERT PHARMACEUTICALS, INC.",2015.0,FY,-6056000.0,25408000.0,,,-0.23835012594458438
CONCHO RESOURCES INC,2015.0,FY,251003000.0,,,,
CONCIERGE TECHNOLOGIES INC,2016.0,Q2,-29147.0,0.0,,,-inf
CONCRETE LEVELING SYSTEMS INC,2016.0,Q2,-5013.0,,,,
CONCURRENT COMPUTER CORP/DE,2016.0,Q2,-543000.0,15996000.0,,,-0.033945986496624156
"CONDOR HOSPITALITY TRUST, INC.",2015.0,FY,-1351000.0,,,,
CONE MIDSTREAM PARTNERS LP,2015.0,FY,28124000.0,,,,
CONFORMIS INC,2015.0,FY,-47889000.0,34597000.0,,,-1.3841951614301817
CONGAREE BANCSHARES INC,2015.0,FY,1357740.0,,,,
"CONIFER HOLDINGS, INC.",2015.0,FY,349000.0,33476000.0,,,0.010425379376269566
CONMED CORP,2015.0,FY,35939000.0,,,,
CONNECTICUT WATER SERVICE INC / CT,2015.0,FY,18269000.0,,,,
"CONNECTONE BANCORP, INC.",2015.0,FY,19925000.0,,,,
CONNECTURE INC,2015.0,FY,-26384000.0,58326000.0,,,-0.45235401021842747
CONNS INC,2015.0,FY,93449000.0,1193769000.0,,,0.07828063888407222
CONOCOPHILLIPS,2015.0,FY,9156000000.0,58248000000.0,,,0.15718994643592912
